,ID,LON,LAT,DATE,NS,country,pre_mm_syr,tmp_dc_syr,pet_mm_syr,aet_mm_syr,ari_ix_sav,cmi_ix_syr,basin_area_km2,HYBAS_ID,climdata_period_days,climdata_date_start,geometry,point_x,point_y,point_z,stream_x,stream_y,stream_z,ridge_x,ridge_y,ridge_z,wetness_index,long_hessian_max,long_hessian_mean,long_hessian_var,long_hessian_skew,long_hessian_kurt,long_grad_mean,long_grad_var,short_grad_max,short_grad_var,short_grad_mean,stream_grad_max,stream_grad_var,stream_grad_mean,stream_hessian_max,dist_stream,dist_top,ratio_dist,alt_stream,alt_top,ratio_stream,stream_to_total_dist_ratio,ndvi,precipitation
3534,25067,-0.031944444,12.857222222,2006-04-18,27.04,Burkina,625,282,2053,526,30,-70,151.5938600114488,1121914510,60.0,2006-02-17,POINT (-2610867.5729915737 1495681.0497291624),-2610867.5729915737,1495681.0497291624,288.38183731445315,-2610829.2,1495279.8,288.2535,-2610799.2,1495669.8,288.38193,10.045503,0.00091179693,-7.040386e-05,5.7271954e-08,0.4957612,3.6834843,0.90762925,0.50795496,2.6837144,0.68543303,1.1243235,1.0675693,0.078414544,0.47855747,0.00027178708,403.1254448790648,69.25110148383914,5.821213471574032,0.1283277929687756,9.017578122438863e-05,0.00031833215838626407,0.8533985185821718,2109.3916,0.0063806633
3535,49581,-0.130083333,12.908055556,2008-12-22,18.690277778,Burkina,601,282,2057,506,29,-71,123.06059237707716,1120698050,60.0,2008-10-23,POINT (-2621165.794510439 1501423.2282636568),-2621165.794510439,1501423.2282636568,298.2441627910157,-2621149.2,1501549.8,298.24396,-2621179.2,1501519.8,298.244,5.6177235,0.00086102873,-4.050785e-05,4.3343547e-08,0.23225203,3.506049,0.8643314,0.35411084,3.370854,1.1012725,1.0705146,0.3251904,0.017762162,0.17155053,-9.12334e-06,127.59886595481613,97.45509625475384,1.3093093215080776,0.00020527148444671184,-0.00017475390632171184,1.6087249907017219e-06,0.566970093314759,2500.9194,0.00027661052
3536,49580,-0.131888889,12.908527778,2008-12-22,20.304857143,Burkina,601,282,2057,506,29,-71,123.06059237707716,1120698050,60.0,2008-10-23,POINT (-2621354.6952325655 1501475.5655415168),-2621354.6952325655,1501475.5655415168,299.7538146972656,-2621149.2,1501549.8,298.24396,-2621359.2,1501549.8,299.17285,4.8852015,0.00086102873,-3.4021858e-05,4.5693362e-08,0.22653593,3.5819314,0.88524365,0.37281182,1.4814376,0.09762696,0.74377984,1.003771,0.12024943,0.55255955,0.00023100893,218.42865531873446,74.32415345521471,2.938865027912526,1.509857177734375,-0.580963134765625,0.006912358525172296,0.7461197596481319,2500.9194,0.00027661052
3537,25072,-0.019166667,12.913333333,2006-03-25,11.36,Burkina,598,282,2062,503,29,-71,145.47965214802483,1121911170,60.0,2006-01-24,POINT (-2609603.6598475017 1502154.1408993579),-2609603.6598475017,1502154.1408993579,285.1805114746094,-2609539.2,1502059.8,285.14667,-2609569.2,1502149.8,285.46277,6.142433,0.00089503394,-3.765006e-05,5.775412e-08,0.4217071,3.100211,0.9231303,0.45351157,2.9166093,0.460226,0.96451306,1.140604,0.103787355,0.8209077,-6.270888e-06,114.27278913534865,34.6888685641179,3.294220707260317,0.033843994140625,0.282257080078125,0.00029616844392009196,0.7671288766529206,2011.3298,0.010012678
3538,7104,-0.567195,12.66267,2008-03-16,11.35,Burkina,698,282,2024,589,34,-66,184.66702783748028,1120718960,60.0,2008-01-16,POINT (-2666448.966888648 1472673.0946900018),-2666448.966888648,1472673.0946900018,319.3501961386719,-2665999.2,1472239.8,319.63513,-2666449.2,1472659.8,319.3502,6.1776567,0.0006816104,-1.4232425e-05,4.738883e-08,0.05571895,3.5453336,1.0284985,0.3895027,1.687192,0.14952204,0.79285514,1.8065685,0.24596056,0.8047603,0.00024654626,624.5261405962035,13.347692807442185,20.81753801987345,-0.28493569726560963,-6.9296875153668225e-06,-0.0004562430277035257,0.9790747133548026,1953.2198,0.0011848041
3539,7084,-0.503333333,12.673055556,2006-01-27,14.82,Burkina,682,282,2030,574,34,-66,105.88911123521781,1120711870,60.0,2005-11-28,POINT (-2659801.968516934 1473942.0698741295),-2659801.968516934,1473942.0698741295,314.5384826660156,-2660119.2,1474219.8,313.1183,-2659849.2,1474039.8,315.23392,5.3487406,0.00095355336,-3.7412497e-05,5.3449767e-08,0.2961353,3.3046818,0.9271182,0.46980447,3.0274637,0.51439726,0.8253583,2.1005192,0.5740714,0.93838316,0.00021219264,421.6322945409862,108.52163669508617,3.8852371506858927,1.420196533203125,0.6954345703125,0.003368329588579629,0.7953016467461362,2464.5676,0.0025601473
3540,6674,-0.503055556,12.681111111,2006-01-28,12.47,Burkina,682,282,2030,574,34,-66,105.88911123521781,1120711870,60.0,2005-11-29,POINT (-2659783.073587244 1474870.4855283638),-2659783.073587244,1474870.4855283638,311.8344823398438,-2659789.2,1474879.8,311.83447,-2659759.2,1474879.8,311.83447,19.720734,0.0007050556,-3.0353947e-05,4.3392014e-08,0.2664975,3.143305,0.8339432,0.37280026,1.5136913,0.12798914,0.20060752,,,,,11.13456371981758,25.5615677114165,0.37115212399391934,9.683593816589564e-06,-9.683593816589564e-06,3.227864605529855e-07,0.30342609113123964,2459.735,0.0026579634
3541,6679,-0.584444444,12.686666667,2006-01-30,27.6,Burkina,698,282,2024,589,34,-66,184.66702783748028,1120718960,60.0,2005-12-01,POINT (-2668277.9768130756 1475418.2583796878),-2668277.9768130756,1475418.2583796878,327.6417541503906,-2668279.2,1475869.8,321.11868,-2668339.2,1475059.8,339.6777,3.9158208,0.001971665,-5.5210585e-05,1.1939865e-07,0.8001693,7.497709,1.6098595,1.969622,2.5585139,0.37016794,1.5486802,4.5862246,1.1132923,2.6221335,0.00024266075,451.49341547478974,363.70683488523525,1.2413663208096015,6.5230712890625,12.03594970703125,0.014447766158899237,0.5538435682219089,2345.0742,0.0053443527
3542,6687,-0.578333333,12.686666667,2006-01-26,7.34,Burkina,698,282,2024,589,34,-66,184.66702783748028,1120718960,60.0,2005-11-27,POINT (-2667640.656009308 1475425.1973370875),-2667640.656009308,1475425.1973370875,321.1004333496094,-2667529.2,1475719.8,319.62146,-2667499.2,1475359.8,318.23422,3.8637488,0.0013262193,-6.9325215e-05,9.439654e-08,0.27179497,5.4706907,1.3971034,1.3297107,2.8110151,0.49931172,1.5157446,2.40377,0.58777845,1.0610496,8.372329e-05,314.9167670017059,155.81724359092496,2.0210649331499737,1.478973388671875,-2.8662109375,0.00469639455133827,0.6689908948903889,2360.7576,0.0031654586
3543,6680,-0.591944444,12.688333333,2006-01-25,20.86,Burkina,698,282,2024,589,34,-66,184.66702783748028,1120718960,60.0,2005-11-26,POINT (-2669062.2346774624 1475601.7523233986),-2669062.2346774624,1475601.7523233986,328.29541015625,-2668729.2,1475689.8,326.24286,-2669119.2,1475629.8,331.02036,3.3033373,0.0009807738,-3.404662e-05,5.5476693e-08,0.35237715,3.8367712,1.1172342,0.46295995,2.8320353,0.5275883,1.4363754,2.1052608,0.2869791,0.6374432,9.4623414e-05,344.41600792060353,63.518634267010654,5.4222829551529115,2.05255126953125,2.724945068359375,0.005959511818058161,0.8442921299196805,2364.6787,0.0031654586
